filename,original_size,compressed_size,compression_ratio
dailymail_10.txt,4456,2126,0.5228904847396769
dailymail_100.txt,3694,1849,0.49945858148348676
dailymail_1002.txt,867,511,0.4106113033448674
dailymail_1004.txt,671,433,0.3546944858420268
dailymail_1006.txt,640,410,0.359375
dailymail_1008.txt,559,363,0.3506261180679785
dailymail_1010.txt,665,402,0.3954887218045112
dailymail_1014.txt,705,409,0.41985815602836885
dailymail_1018.txt,516,332,0.3565891472868217
dailymail_102.txt,4552,2269,0.5015377855887522
dailymail_1020.txt,839,479,0.42908224076281287
dailymail_1022.txt,537,351,0.34636871508379885
dailymail_1024.txt,557,382,0.31418312387791747
dailymail_1026.txt,912,541,0.4067982456140351
dailymail_1030.txt,807,491,0.39157372986369265
dailymail_104.txt,2686,1184,0.5591958302308265
dailymail_1040.txt,973,581,0.40287769784172667
dailymail_1046.txt,541,357,0.34011090573012936
dailymail_1052.txt,608,389,0.36019736842105265
dailymail_1054.txt,1059,627,0.40793201133144474
dailymail_1056.txt,619,405,0.345718901453958
dailymail_1058.txt,793,492,0.3795712484237075
dailymail_106.txt,3324,1665,0.4990974729241877
dailymail_1062.txt,703,434,0.38264580369843526
dailymail_1064.txt,830,527,0.3650602409638555
dailymail_1066.txt,563,380,0.32504440497335707
dailymail_1068.txt,528,347,0.3428030303030303
dailymail_1072.txt,878,522,0.4054669703872438
dailymail_1076.txt,670,407,0.3925373134328358
dailymail_1078.txt,946,521,0.4492600422832981
dailymail_108.txt,7696,3491,0.5463877338877339
dailymail_1080.txt,621,377,0.39291465378421897
dailymail_1082.txt,658,393,0.4027355623100304
dailymail_1084.txt,936,542,0.4209401709401709
dailymail_1088.txt,820,496,0.3951219512195122
dailymail_1090.txt,532,359,0.325187969924812
dailymail_1094.txt,973,581,0.40287769784172667
dailymail_1096.txt,505,325,0.3564356435643564
dailymail_110.txt,6328,2686,0.5755372945638433
dailymail_1100.txt,843,472,0.4400948991696323
dailymail_1102.txt,646,416,0.3560371517027864
dailymail_1106.txt,839,479,0.42908224076281287
dailymail_1108.txt,523,333,0.3632887189292543
dailymail_1110.txt,680,400,0.4117647058823529
dailymail_1114.txt,643,395,0.385692068429238
dailymail_112.txt,2231,1127,0.4948453608247423
dailymail_1132.txt,552,373,0.3242753623188406
dailymail_1138.txt,843,472,0.4400948991696323
dailymail_114.txt,1317,757,0.425208807896735
dailymail_1140.txt,807,491,0.39157372986369265
dailymail_1144.txt,579,350,0.3955094991364422
dailymail_1146.txt,566,381,0.32685512367491165
dailymail_1148.txt,834,511,0.38729016786570747
dailymail_1152.txt,630,383,0.3920634920634921
dailymail_1154.txt,647,403,0.37712519319938176
dailymail_1158.txt,643,395,0.385692068429238
dailymail_116.txt,3422,1562,0.54354178842782
dailymail_1162.txt,620,381,0.38548387096774195
dailymail_1164.txt,651,405,0.37788018433179726
dailymail_1166.txt,616,401,0.349025974025974
dailymail_1168.txt,771,461,0.40207522697795073
dailymail_1170.txt,507,345,0.3195266272189349
dailymail_1174.txt,561,367,0.34581105169340465
dailymail_1176.txt,561,367,0.34581105169340465
dailymail_1178.txt,657,408,0.3789954337899544
dailymail_118.txt,3958,1839,0.5353713996968166
dailymail_1180.txt,1455,792,0.45567010309278355
dailymail_1186.txt,506,333,0.34189723320158105
dailymail_1190.txt,522,353,0.3237547892720306
dailymail_1196.txt,1188,682,0.42592592592592593
dailymail_12.txt,3948,1821,0.5387537993920972
dailymail_120.txt,4888,2363,0.5165711947626841
dailymail_1202.txt,597,389,0.34840871021775544
dailymail_1208.txt,635,388,0.38897637795275586
dailymail_1210.txt,897,534,0.4046822742474916
dailymail_1214.txt,856,509,0.40537383177570097
dailymail_122.txt,3583,1796,0.498744069215741
dailymail_1222.txt,637,389,0.3893249607535322
dailymail_1228.txt,557,382,0.31418312387791747
dailymail_1232.txt,562,362,0.3558718861209964
dailymail_1234.txt,1065,620,0.4178403755868545
dailymail_1236.txt,638,406,0.36363636363636365
dailymail_124.txt,3281,1690,0.4849131362389515
dailymail_1240.txt,507,345,0.3195266272189349
dailymail_1244.txt,704,459,0.34801136363636365
dailymail_1246.txt,603,394,0.3466003316749585
dailymail_1248.txt,742,441,0.4056603773584906
dailymail_1250.txt,916,479,0.47707423580786024
dailymail_1252.txt,858,505,0.4114219114219114
dailymail_1258.txt,851,523,0.38542890716803757
dailymail_126.txt,3358,1583,0.5285884455032758
dailymail_1264.txt,20726,6450,0.6887966804979253
dailymail_1272.txt,556,374,0.32733812949640284
dailymail_1274.txt,523,335,0.35946462715105165
dailymail_128.txt,3472,1719,0.5048963133640554
dailymail_1280.txt,845,503,0.40473372781065087
dailymail_1282.txt,744,454,0.3897849462365591
dailymail_1284.txt,644,394,0.38819875776397517
dailymail_1288.txt,782,502,0.3580562659846548
dailymail_1290.txt,1225,701,0.42775510204081635
dailymail_1292.txt,846,525,0.3794326241134752
dailymail_1296.txt,513,356,0.30604288499025345
dailymail_130.txt,2687,1255,0.5329363602530703
dailymail_1300.txt,12674,5658,0.5535742464888749
dailymail_1302.txt,11158,4541,0.5930274242695823
dailymail_1304.txt,7192,3371,0.5312847608453838
dailymail_1306.txt,3487,1786,0.4878118726699169
dailymail_1308.txt,6663,2910,0.5632597928860874
dailymail_1310.txt,4324,2112,0.5115633672525439
dailymail_1312.txt,528,347,0.3428030303030303
dailymail_1314.txt,6004,2816,0.5309793471019321
dailymail_1316.txt,6160,2902,0.528896103896104
dailymail_1318.txt,7841,3636,0.5362836372911619
dailymail_132.txt,3512,1673,0.523633257403189
dailymail_1320.txt,868,517,0.40437788018433185
dailymail_1322.txt,870,542,0.3770114942528736
dailymail_1324.txt,3788,1841,0.5139915522703273
dailymail_1326.txt,8679,3599,0.585320889503399
dailymail_1328.txt,8679,3599,0.585320889503399
dailymail_1330.txt,12895,5684,0.559208995734781
dailymail_1332.txt,4016,2040,0.49203187250996017
dailymail_1334.txt,572,358,0.37412587412587417
dailymail_1336.txt,8013,3629,0.5471109447148383
dailymail_1338.txt,3103,1233,0.602642603931679
dailymail_134.txt,3865,1913,0.5050452781371281
dailymail_1340.txt,4221,2156,0.4892205638474295
dailymail_1342.txt,7172,3314,0.53792526491913
dailymail_1344.txt,647,413,0.3616692426584235
dailymail_1346.txt,8008,3586,0.5521978021978022
dailymail_1348.txt,8038,3902,0.5145558596665838
dailymail_1350.txt,925,526,0.4313513513513514
dailymail_1352.txt,12436,5837,0.5306368607269218
dailymail_1354.txt,7449,3507,0.5291985501409585
dailymail_1356.txt,7449,3507,0.5291985501409585
dailymail_1358.txt,3732,1656,0.5562700964630225
dailymail_136.txt,3774,1749,0.5365659777424483
dailymail_1360.txt,970,572,0.41030927835051545
dailymail_1362.txt,6073,2860,0.5290630660299687
dailymail_1364.txt,5167,2470,0.5219663247532418
dailymail_1366.txt,507,328,0.3530571992110454
dailymail_1368.txt,7503,3441,0.5413834466213514
dailymail_1370.txt,8002,3392,0.5761059735066234
dailymail_1372.txt,689,417,0.3947750362844702
dailymail_1374.txt,6004,2893,0.5181545636242505
dailymail_1376.txt,6004,2893,0.5181545636242505
dailymail_1378.txt,8055,3751,0.5343265052762259
dailymail_138.txt,3980,1745,0.5615577889447236
dailymail_1380.txt,828,504,0.3913043478260869
dailymail_1382.txt,8906,3903,0.5617561194700202
dailymail_1384.txt,4386,2164,0.5066119471044231
dailymail_1386.txt,1120,670,0.4017857142857143
dailymail_1388.txt,7592,3523,0.535958904109589
dailymail_1390.txt,960,550,0.42708333333333337
dailymail_1392.txt,8888,3947,0.5559180918091808
dailymail_1394.txt,949,565,0.40463645943098003
dailymail_1396.txt,9147,3722,0.5930906308079151
dailymail_1398.txt,1503,819,0.45508982035928147
dailymail_14.txt,2722,1353,0.502939015429831
dailymail_140.txt,2398,1179,0.5083402835696413
dailymail_1400.txt,6470,2721,0.5794435857805256
dailymail_1402.txt,8566,3831,0.5527667522764417
dailymail_1404.txt,1008,605,0.3998015873015873
dailymail_1406.txt,6592,3049,0.5374696601941747
